,,,,,,,,Wafer #8 Bin #14,,,,,Wafer #10 Bin #14,,,,
Test Name,LL,UL,Unit,Avg,Min,Max,,T28,S28,H33,AB26,AA26,AE37,AF19,AI33,D31,W31
SPI0_SSN_VOH_6.5mA Source,2.9,3.5,V,3.085603824,3.081896216,3.088762156,,3.088762156,3.088075562,3.084642592,3.084184863,3.088533292,3.086244645,3.081896216,3.085329186,3.084184863,3.084184863
VBG,1.205,1.245,V,1.226405797,1.223597342,1.228637456,,1.224066734,1.223597342,1.227655001,1.225573381,1.225227974,1.227173944,1.226343676,1.228281279,1.228637456,1.22750118
VBG_VR2,-0.9,-0.3,V,-0.618521321,-0.620835728,-0.615781638,,-0.618628489,-0.616972307,-0.615781638,-0.616748896,-0.618104737,-0.61961665,-0.620835728,-0.619352122,-0.620702155,-0.618470484
EDAC_VREF DiffV,2.45,2.55,V,2.494586541,2.484700003,2.499680617,,2.495743288,2.484700003,2.495805277,2.49396196,2.490788952,2.495853305,2.493661293,2.499680617,2.49890354,2.496767175
EDAC_VREF SglV,2.45,2.55,V,2.496789424,2.486894929,2.501884148,,2.497834903,2.486894929,2.497992937,2.496141941,2.492920622,2.498065143,2.495944549,2.501884148,2.501235615,2.498979453
OVT_VREF DiffV,2.45,2.55,V,2.496846556,2.48685621,2.503106768,,2.497298364,2.48685621,2.497418649,2.495545842,2.493433055,2.497484684,2.496362989,2.503106768,2.501945769,2.499013227
OVT_VREF SglV,2.45,2.55,V,2.498180475,2.488203046,2.504468929,,2.498561647,2.488203046,2.498703085,2.496888731,2.494737924,2.4988337,2.497734215,2.504468929,2.503350545,2.500322931
HTRREG_VREF_BUF,2.45,2.55,V,2.500860148,2.490980039,2.506882641,,2.500994842,2.490980039,2.502113666,2.499985784,2.496972366,2.50223163,2.500222943,2.506882641,2.505287085,2.502930485
HTRREG_VREF_NBUF,2.45,2.55,V,2.500960348,2.491080736,2.50697141,,2.501095844,2.491080736,2.502250286,2.500098936,2.497083538,2.502312241,2.500329185,2.50697141,2.5053706,2.503010704
HTR_VREF DiffV,2.45,2.55,V,2.495292535,2.485718768,2.50045176,,2.494426483,2.485718768,2.498061581,2.495318452,2.492403715,2.496651845,2.492299994,2.50045176,2.50016393,2.497428822
HTR_VREF SglV,2.45,2.55,V,2.496580164,2.486976614,2.501749143,,2.495656221,2.486976614,2.499335773,2.496610832,2.493659418,2.497948681,2.493609021,2.501749143,2.501523196,2.498732741
H2S_VREF DiffV,2.45,2.55,V,2.501047052,2.490855879,2.506985835,,2.500495284,2.490855879,2.502052384,2.500327365,2.497419568,2.502619033,2.500085199,2.506985835,2.506026573,2.503603397
H2S_VREF SglV,2.45,2.55,V,2.504348167,2.494129687,2.510337674,,2.503721846,2.494129687,2.505318362,2.503609263,2.500659219,2.505959396,2.503446671,2.510337674,2.509387307,2.506912248
T1DAC_VREF DiffV,2.45,2.55,V,2.500546801,2.490847601,2.506033651,,2.501074457,2.490847601,2.50200768,2.501058619,2.49629837,2.501525626,2.499454308,2.506033651,2.504330781,2.502836921
T1DAC_VREF SglV,2.45,2.55,V,2.505215439,2.495508346,2.51077004,,2.505656303,2.495508346,2.506649205,2.50571184,2.500853623,2.506257283,2.504196206,2.51077004,2.509041685,2.507509862
T2DAC_VREF DiffV,2.45,2.55,V,2.504449845,2.496483205,2.510438942,,2.502904278,2.496483205,2.507456774,2.50103584,2.50368639,2.50519485,2.502978091,2.510438942,2.508151962,2.506168112
T2DAC_VREF SglV,2.45,2.55,V,2.5083285,2.500260862,2.51433095,,2.506756287,2.500260862,2.511265903,2.504899241,2.507536544,2.509158565,2.506938258,2.51433095,2.512127385,2.51001101
EXTDAC_VCM DiffV,2.45,2.55,V,2.496254787,2.488698332,2.502857422,,2.496193798,2.488698332,2.497775638,2.494555726,2.49214275,2.501558599,2.494771701,2.502857422,2.498365416,2.495628492
EXTDAC_VCM SglV,2.45,2.55,V,2.498376814,2.490797096,2.505024801,,2.4982396,2.490797096,2.499866897,2.496648157,2.49419548,2.503690725,2.496965188,2.505024801,2.500553236,2.497786955
OVTDAC_VCM DiffV,2.45,2.55,V,2.499890701,2.492665122,2.504682366,,2.496183592,2.492665122,2.499000261,2.501635428,2.496323843,2.504682366,2.502677604,2.504300054,2.501596221,2.499842524
OVTDAC_VCM SglV,2.45,2.55,V,2.501156419,2.493920983,2.505998523,,2.49737817,2.493920983,2.500217652,2.502900499,2.497555608,2.505998523,2.503957533,2.505580423,2.502938235,2.501116561
HTR_VCM  DiffV,2.45,2.55,V,2.501426252,2.495838002,2.505743,,2.502193891,2.495838002,2.498350464,2.501030177,2.501388349,2.505548102,2.495961718,2.505743,2.504949692,2.503259128
HTR_VCM SglV,2.45,2.55,V,2.502679251,2.497090998,2.507010743,,2.503394717,2.497090998,2.499564072,2.502297557,2.50261189,2.506796612,2.497238032,2.507010743,2.506266991,2.5045209
